date,phc_id,state,medicine_name,weather_condition,temperature_c,local_festival,patient_footfall,daily_consumption_rate,stock_on_hand,predicted_days_to_stockout,critical_deficit_flag,nearest_hub_surplus,hub_distance_km
2023-01-01,PHC_032,Rajasthan,Oxytocin 10 IU (Maternal),Heatwave,40.0,Diwali,160,49,396,8.1,0,395,70.2
2023-01-01,PHC_033,Karnataka,Snake Venom Antiserum,Clear,44.8,None,111,12,111,9.2,0,332,28.8
2023-01-01,PHC_034,Uttar Pradesh,Amoxicillin 500mg (Antibiotic),Heatwave,33.9,Diwali,170,57,440,7.7,0,740,54.8
2023-01-01,PHC_036,Tamil Nadu,Ceftriaxone 1g (Antibiotic),High Humidity,38.0,Local Fair,98,38,133,3.5,1,680,78.2
2023-01-01,PHC_036,Tamil Nadu,Ceftriaxone 1g (Antibiotic),Monsoon/Heavy Rain,24.8,Local Fair,168,63,163,2.6,1,34,47.7
2023-01-01,PHC_036,Tamil Nadu,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,35.5,Kumbh Mela,89,21,459,21.9,0,245,11.0
2023-01-01,PHC_036,Tamil Nadu,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,30.2,Holi,77,21,311,14.8,0,553,51.8
2023-01-01,PHC_037,Rajasthan,Amoxicillin 500mg (Antibiotic),High Humidity,44.1,Diwali,65,14,179,12.8,0,239,21.8
2023-01-01,PHC_039,Assam,Amoxicillin 500mg (Antibiotic),Heatwave,40.5,Local Fair,138,45,301,6.7,0,97,11.6
2023-01-01,PHC_040,Bihar,Oxytocin 10 IU (Maternal),Heatwave,27.0,Holi,95,25,208,8.3,0,123,50.3
2023-01-01,PHC_043,Uttar Pradesh,Ceftriaxone 1g (Antibiotic),Clear,29.1,Local Fair,76,22,401,18.2,0,541,33.1
2023-01-01,PHC_043,Uttar Pradesh,ORS Packets,High Humidity,42.0,Kumbh Mela,135,33,334,10.1,0,835,67.7
2023-01-01,PHC_045,Maharashtra,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,26.5,Holi,183,28,165,5.9,0,969,75.0
2023-01-01,PHC_046,Assam,Oxytocin 10 IU (Maternal),Heatwave,29.8,Holi,186,49,369,7.5,0,842,32.8
2023-01-01,PHC_048,Maharashtra,Amoxicillin 500mg (Antibiotic),High Humidity,32.7,Local Fair,125,43,270,6.3,0,850,46.5
2023-01-01,PHC_049,Rajasthan,Rabies Immunoglobulin (ARV),Clear,44.9,Local Fair,99,12,61,5.1,0,246,73.3
2023-01-02,PHC_002,Karnataka,ORS Packets,Monsoon/Heavy Rain,41.7,Holi,196,64,87,1.4,1,262,48.6
2023-01-02,PHC_002,Karnataka,Oxytocin 10 IU (Maternal),Clear,36.1,Diwali,70,23,311,13.5,0,148,53.2
2023-01-02,PHC_002,Karnataka,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,22.9,None,111,40,499,12.5,0,593,24.8
2023-01-02,PHC_003,Uttar Pradesh,ORS Packets,Clear,24.3,Holi,164,64,115,1.8,1,701,71.0
2023-01-02,PHC_005,Tamil Nadu,Snake Venom Antiserum,Clear,24.1,Holi,149,44,83,1.9,1,697,15.5
2023-01-02,PHC_005,Tamil Nadu,Paracetamol 500mg (Antipyretic),Clear,24.8,Diwali,69,18,497,27.6,0,520,23.6
2023-01-02,PHC_007,Karnataka,Oxytocin 10 IU (Maternal),Heatwave,34.4,Diwali,86,30,410,13.7,0,347,73.9
2023-01-02,PHC_008,Gujarat,ORS Packets,Clear,29.7,Diwali,149,48,432,9.0,0,287,49.3
2023-01-02,PHC_009,Gujarat,Amoxicillin 500mg (Antibiotic),High Humidity,32.2,Local Fair,104,26,282,10.8,0,970,40.6
2023-01-02,PHC_010,Tamil Nadu,Ceftriaxone 1g (Antibiotic),High Humidity,30.3,Diwali,102,16,466,29.1,0,300,15.5
2023-01-02,PHC_017,Maharashtra,Amoxicillin 500mg (Antibiotic),Heatwave,30.3,Diwali,99,21,298,14.2,0,827,54.3
2023-01-02,PHC_019,Maharashtra,ORS Packets,Clear,29.1,Local Fair,122,23,424,18.4,0,570,26.4
2023-01-02,PHC_019,Maharashtra,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,43.5,Holi,223,86,89,1.0,1,317,66.3
2023-01-02,PHC_020,Tamil Nadu,Snake Venom Antiserum,Monsoon/Heavy Rain,45.0,None,135,24,367,15.3,0,638,57.1
2023-01-02,PHC_021,Bihar,Paracetamol 500mg (Antipyretic),High Humidity,30.1,Local Fair,82,16,322,20.1,0,874,41.7
2023-01-02,PHC_023,Rajasthan,Oxytocin 10 IU (Maternal),Clear,35.6,Holi,180,48,129,2.7,1,883,14.4
2023-01-02,PHC_024,Maharashtra,Paracetamol 500mg (Antipyretic),Heatwave,39.2,Local Fair,147,45,348,7.7,0,285,47.0
2023-01-02,PHC_024,Maharashtra,Oxytocin 10 IU (Maternal),High Humidity,36.0,Holi,165,30,212,7.1,0,35,35.6
2023-01-02,PHC_027,Karnataka,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,36.8,Diwali,114,12,161,13.4,0,273,71.3
2023-01-02,PHC_027,Karnataka,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,26.1,Diwali,156,22,138,6.3,0,326,50.7
2023-01-02,PHC_029,Karnataka,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,24.3,None,143,55,14,0.3,1,326,40.0
2023-01-02,PHC_029,Karnataka,Paracetamol 500mg (Antipyretic),High Humidity,43.1,Local Fair,110,37,478,12.9,0,298,50.8
2023-01-02,PHC_030,Uttar Pradesh,Rabies Immunoglobulin (ARV),Clear,38.3,None,37,8,57,7.1,0,198,45.3
2023-01-02,PHC_031,Bihar,Oxytocin 10 IU (Maternal),High Humidity,23.5,Holi,137,48,216,4.5,1,622,20.5
2023-01-02,PHC_032,Rajasthan,Rabies Immunoglobulin (ARV),Heatwave,41.3,Local Fair,143,41,468,11.4,0,865,71.3
2023-01-02,PHC_033,Karnataka,Snake Venom Antiserum,Heatwave,31.1,None,131,28,381,13.6,0,62,22.8
2023-01-02,PHC_033,Karnataka,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,40.4,None,111,17,110,6.5,0,961,33.0
2023-01-02,PHC_034,Uttar Pradesh,Paracetamol 500mg (Antipyretic),Heatwave,32.8,Diwali,98,30,243,8.1,0,475,21.5
2023-01-02,PHC_035,Gujarat,Paracetamol 500mg (Antipyretic),Heatwave,22.4,Diwali,127,40,117,2.9,1,84,51.9
2023-01-02,PHC_036,Tamil Nadu,Amoxicillin 500mg (Antibiotic),Clear,36.0,Local Fair,71,8,182,22.8,0,635,31.9
2023-01-02,PHC_038,Rajasthan,Rabies Immunoglobulin (ARV),Heatwave,40.2,Local Fair,186,54,222,4.1,1,608,17.0
2023-01-02,PHC_039,Assam,Snake Venom Antiserum,High Humidity,41.1,Diwali,102,32,194,6.1,0,248,49.8
2023-01-02,PHC_040,Bihar,Paracetamol 500mg (Antipyretic),High Humidity,24.4,None,118,30,466,15.5,0,418,59.8
2023-01-02,PHC_040,Bihar,Paracetamol 500mg (Antipyretic),Clear,31.2,Local Fair,125,34,91,2.7,1,612,75.8
2023-01-02,PHC_041,Maharashtra,Snake Venom Antiserum,Heatwave,24.6,Kumbh Mela,137,53,285,5.4,0,32,64.7
2023-01-02,PHC_042,Rajasthan,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,23.9,Diwali,259,73,382,5.2,0,608,35.3
2023-01-02,PHC_043,Uttar Pradesh,Ceftriaxone 1g (Antibiotic),Clear,28.7,Kumbh Mela,49,14,406,29.0,0,942,41.1
2023-01-02,PHC_043,Uttar Pradesh,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,43.3,Local Fair,202,30,107,3.6,1,825,24.8
2023-01-02,PHC_044,Uttar Pradesh,Snake Venom Antiserum,High Humidity,43.6,None,134,29,106,3.7,1,22,56.3
2023-01-02,PHC_045,Maharashtra,Snake Venom Antiserum,Clear,31.2,Diwali,114,37,371,10.0,0,832,52.6
2023-01-02,PHC_045,Maharashtra,Ceftriaxone 1g (Antibiotic),Heatwave,31.9,Kumbh Mela,97,11,342,31.1,0,483,28.5
2023-01-02,PHC_045,Maharashtra,Snake Venom Antiserum,High Humidity,23.1,Diwali,166,55,412,7.5,0,650,63.5
2023-01-02,PHC_046,Assam,Ceftriaxone 1g (Antibiotic),High Humidity,36.7,Kumbh Mela,175,34,107,3.1,1,535,34.9
2023-01-02,PHC_046,Assam,Amoxicillin 500mg (Antibiotic),High Humidity,25.4,Diwali,131,24,364,15.2,0,176,24.4
2023-01-02,PHC_048,Maharashtra,Rabies Immunoglobulin (ARV),Heatwave,34.8,Holi,71,11,244,22.2,0,758,73.9
2023-01-03,PHC_002,Karnataka,Ceftriaxone 1g (Antibiotic),High Humidity,23.5,Local Fair,168,27,464,17.2,0,936,48.3
2023-01-03,PHC_002,Karnataka,Paracetamol 500mg (Antipyretic),Clear,26.3,Kumbh Mela,63,22,437,19.9,0,532,45.0
2023-01-03,PHC_003,Uttar Pradesh,Amoxicillin 500mg (Antibiotic),Clear,36.4,Diwali,84,12,413,34.4,0,705,23.8
2023-01-03,PHC_004,Karnataka,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,40.3,Local Fair,222,47,130,2.8,1,428,42.3
2023-01-03,PHC_005,Tamil Nadu,Oxytocin 10 IU (Maternal),Heatwave,23.1,Diwali,152,47,264,5.6,0,567,56.0
2023-01-03,PHC_006,Gujarat,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,42.0,Local Fair,184,20,135,6.8,0,530,38.1
2023-01-03,PHC_007,Karnataka,Paracetamol 500mg (Antipyretic),Clear,32.8,Local Fair,157,47,73,1.6,1,584,72.6
2023-01-03,PHC_009,Gujarat,Amoxicillin 500mg (Antibiotic),Clear,25.0,None,92,16,250,15.6,0,98,70.2
2023-01-03,PHC_015,Uttar Pradesh,Snake Venom Antiserum,Monsoon/Heavy Rain,36.3,Kumbh Mela,219,47,318,6.8,0,8,76.4
2023-01-03,PHC_017,Maharashtra,Oxytocin 10 IU (Maternal),Heatwave,28.0,Holi,60,16,159,9.9,0,406,32.4
2023-01-03,PHC_019,Maharashtra,Ceftriaxone 1g (Antibiotic),Heatwave,35.5,Holi,86,18,31,1.7,1,307,10.8
2023-01-03,PHC_019,Maharashtra,Oxytocin 10 IU (Maternal),Clear,31.3,Local Fair,142,37,289,7.8,0,932,76.9
2023-01-03,PHC_019,Maharashtra,Snake Venom Antiserum,Clear,35.7,Diwali,104,13,216,16.6,0,613,42.8
2023-01-03,PHC_021,Bihar,Paracetamol 500mg (Antipyretic),Heatwave,44.1,Holi,84,9,83,9.2,0,696,33.3
2023-01-03,PHC_026,Karnataka,Amoxicillin 500mg (Antibiotic),Heatwave,39.1,Kumbh Mela,130,19,127,6.7,0,62,52.2
2023-01-03,PHC_027,Karnataka,ORS Packets,Heatwave,33.5,Diwali,136,49,119,2.4,1,577,46.6
2023-01-03,PHC_027,Karnataka,Ceftriaxone 1g (Antibiotic),Heatwave,36.8,Diwali,107,29,190,6.6,0,884,34.6
2023-01-03,PHC_031,Bihar,ORS Packets,Clear,39.0,Kumbh Mela,80,11,2,0.2,1,848,13.6
2023-01-03,PHC_033,Karnataka,Paracetamol 500mg (Antipyretic),Clear,40.0,Holi,190,44,307,7.0,0,48,58.6
2023-01-03,PHC_036,Tamil Nadu,Ceftriaxone 1g (Antibiotic),High Humidity,44.6,Holi,170,39,425,10.9,0,991,46.2
2023-01-03,PHC_038,Rajasthan,Paracetamol 500mg (Antipyretic),Clear,28.0,Diwali,109,29,319,11.0,0,801,28.4
2023-01-03,PHC_038,Rajasthan,ORS Packets,Heatwave,26.3,Diwali,149,41,42,1.0,1,868,43.0
2023-01-03,PHC_039,Assam,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,37.2,Diwali,230,63,253,4.0,1,69,53.7
2023-01-03,PHC_040,Bihar,Paracetamol 500mg (Antipyretic),Clear,33.9,Holi,153,26,332,12.8,0,156,40.9
2023-01-03,PHC_041,Maharashtra,Oxytocin 10 IU (Maternal),Clear,36.2,None,140,48,263,5.5,0,848,35.2
2023-01-03,PHC_041,Maharashtra,Paracetamol 500mg (Antipyretic),Heatwave,29.7,Diwali,140,40,294,7.3,0,208,38.6
2023-01-03,PHC_041,Maharashtra,ORS Packets,Heatwave,22.8,Kumbh Mela,141,37,252,6.8,0,725,34.7
2023-01-03,PHC_042,Rajasthan,ORS Packets,Clear,30.0,Kumbh Mela,122,25,177,7.1,0,802,41.2
2023-01-03,PHC_043,Uttar Pradesh,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,44.4,None,96,29,390,13.4,0,178,56.0
2023-01-03,PHC_044,Uttar Pradesh,Paracetamol 500mg (Antipyretic),Heatwave,26.6,None,99,37,169,4.6,1,212,14.3
2023-01-03,PHC_045,Maharashtra,ORS Packets,Clear,40.4,Diwali,103,11,56,5.1,0,737,36.6
2023-01-03,PHC_047,Bihar,Rabies Immunoglobulin (ARV),Heatwave,39.7,Holi,80,25,357,14.3,0,781,53.8
2023-01-03,PHC_049,Rajasthan,ORS Packets,Monsoon/Heavy Rain,38.3,Diwali,154,38,1,0.0,1,113,32.5
2023-01-03,PHC_049,Rajasthan,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,43.4,Diwali,172,41,26,0.6,1,797,11.2
2023-01-04,PHC_002,Karnataka,Amoxicillin 500mg (Antibiotic),High Humidity,30.2,Holi,106,27,306,11.3,0,65,64.8
2023-01-04,PHC_002,Karnataka,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,28.8,Local Fair,136,25,164,6.6,0,746,37.7
2023-01-04,PHC_004,Karnataka,Oxytocin 10 IU (Maternal),High Humidity,25.4,Local Fair,110,14,209,14.9,0,598,22.7
2023-01-04,PHC_005,Tamil Nadu,Snake Venom Antiserum,Clear,27.6,Holi,113,44,88,2.0,1,893,79.9
2023-01-04,PHC_006,Gujarat,Amoxicillin 500mg (Antibiotic),High Humidity,41.0,Kumbh Mela,114,29,484,16.7,0,503,44.5
2023-01-04,PHC_007,Karnataka,Rabies Immunoglobulin (ARV),Clear,43.8,None,93,31,490,15.8,0,137,35.0
2023-01-04,PHC_008,Gujarat,Rabies Immunoglobulin (ARV),Heatwave,32.7,Holi,92,17,383,22.5,0,420,35.1
2023-01-04,PHC_009,Gujarat,ORS Packets,Clear,41.4,Kumbh Mela,113,23,85,3.7,1,657,50.3
2023-01-04,PHC_010,Tamil Nadu,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,36.3,Local Fair,137,23,45,2.0,1,248,76.7
2023-01-04,PHC_010,Tamil Nadu,Oxytocin 10 IU (Maternal),Heatwave,24.9,Diwali,181,62,281,4.5,1,165,76.8
2023-01-04,PHC_012,Bihar,Paracetamol 500mg (Antipyretic),Clear,31.5,Diwali,146,28,446,15.9,0,20,63.2
2023-01-04,PHC_014,Bihar,ORS Packets,High Humidity,35.7,Local Fair,166,47,16,0.3,1,95,53.8
2023-01-04,PHC_016,Bihar,ORS Packets,Clear,25.7,Kumbh Mela,86,28,67,2.4,1,212,53.3
2023-01-04,PHC_018,Rajasthan,Paracetamol 500mg (Antipyretic),Heatwave,40.9,Diwali,170,51,438,8.6,0,195,77.8
2023-01-04,PHC_018,Rajasthan,Paracetamol 500mg (Antipyretic),High Humidity,26.7,Diwali,104,24,119,5.0,1,654,36.5
2023-01-04,PHC_019,Maharashtra,Paracetamol 500mg (Antipyretic),Heatwave,37.1,Holi,172,35,169,4.8,1,388,71.9
2023-01-04,PHC_019,Maharashtra,Amoxicillin 500mg (Antibiotic),High Humidity,38.5,Local Fair,88,16,20,1.2,1,763,44.3
2023-01-04,PHC_020,Tamil Nadu,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,27.5,Kumbh Mela,178,18,455,25.3,0,284,33.4
2023-01-04,PHC_021,Bihar,Amoxicillin 500mg (Antibiotic),Clear,31.5,Kumbh Mela,103,18,303,16.8,0,756,18.6
2023-01-04,PHC_023,Rajasthan,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,26.3,Local Fair,139,21,230,11.0,0,554,47.0
2023-01-04,PHC_023,Rajasthan,Oxytocin 10 IU (Maternal),Clear,29.7,Local Fair,133,31,445,14.4,0,999,49.3
2023-01-04,PHC_026,Karnataka,Oxytocin 10 IU (Maternal),Heatwave,41.2,Kumbh Mela,87,33,79,2.4,1,94,41.5
2023-01-04,PHC_027,Karnataka,ORS Packets,Monsoon/Heavy Rain,34.0,Diwali,162,34,48,1.4,1,828,51.4
2023-01-04,PHC_029,Karnataka,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,25.6,Kumbh Mela,218,49,481,9.8,0,606,30.4
2023-01-04,PHC_029,Karnataka,Ceftriaxone 1g (Antibiotic),Heatwave,40.6,Diwali,170,50,49,1.0,1,949,27.5
2023-01-04,PHC_033,Karnataka,Ceftriaxone 1g (Antibiotic),Heatwave,41.6,Diwali,189,41,458,11.2,0,725,42.6
2023-01-04,PHC_037,Rajasthan,Ceftriaxone 1g (Antibiotic),High Humidity,38.8,Diwali,102,29,464,16.0,0,562,52.0
2023-01-04,PHC_040,Bihar,Amoxicillin 500mg (Antibiotic),Clear,31.9,None,93,13,276,21.2,0,884,47.2
2023-01-04,PHC_041,Maharashtra,ORS Packets,Clear,38.9,Local Fair,103,22,312,14.2,0,672,23.2
2023-01-04,PHC_043,Uttar Pradesh,Ceftriaxone 1g (Antibiotic),Heatwave,37.5,Kumbh Mela,182,23,251,10.9,0,710,27.0
2023-01-04,PHC_045,Maharashtra,Rabies Immunoglobulin (ARV),Heatwave,33.4,Kumbh Mela,155,61,134,2.2,1,822,25.6
2023-01-04,PHC_046,Assam,Oxytocin 10 IU (Maternal),Clear,37.3,Holi,125,36,86,2.4,1,399,31.3
2023-01-04,PHC_046,Assam,Oxytocin 10 IU (Maternal),Clear,28.2,Holi,103,13,69,5.3,0,786,61.6
2023-01-04,PHC_047,Bihar,Paracetamol 500mg (Antipyretic),Clear,25.7,Local Fair,188,61,122,2.0,1,530,54.0
2023-01-04,PHC_047,Bihar,Oxytocin 10 IU (Maternal),Clear,24.0,Holi,151,32,84,2.6,1,104,47.6
2023-01-04,PHC_048,Maharashtra,Amoxicillin 500mg (Antibiotic),Heatwave,23.7,Kumbh Mela,188,35,472,13.5,0,623,73.3
2023-01-04,PHC_049,Rajasthan,Paracetamol 500mg (Antipyretic),Heatwave,24.0,None,50,5,382,76.4,0,238,20.4
2023-01-04,PHC_050,Maharashtra,Oxytocin 10 IU (Maternal),Heatwave,37.8,Kumbh Mela,179,52,487,9.4,0,618,20.8
2023-01-05,PHC_001,Tamil Nadu,Ceftriaxone 1g (Antibiotic),Monsoon/Heavy Rain,42.6,Diwali,217,35,474,13.5,0,96,75.3
2023-01-05,PHC_001,Tamil Nadu,Oxytocin 10 IU (Maternal),Heatwave,39.0,None,87,12,37,3.1,1,527,58.7
2023-01-05,PHC_003,Uttar Pradesh,Paracetamol 500mg (Antipyretic),Clear,40.2,Diwali,51,14,186,13.3,0,10,49.6
2023-01-05,PHC_003,Uttar Pradesh,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,43.4,Holi,140,51,284,5.6,0,509,72.7
2023-01-05,PHC_003,Uttar Pradesh,Ceftriaxone 1g (Antibiotic),Clear,29.1,Kumbh Mela,113,14,257,18.4,0,115,46.5
2023-01-05,PHC_004,Karnataka,Amoxicillin 500mg (Antibiotic),High Humidity,23.4,Kumbh Mela,134,40,217,5.4,0,908,28.6
2023-01-05,PHC_005,Tamil Nadu,Snake Venom Antiserum,Monsoon/Heavy Rain,24.5,Kumbh Mela,152,53,52,1.0,1,866,22.2
2023-01-05,PHC_006,Gujarat,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,35.3,None,122,38,374,9.8,0,551,79.7
2023-01-05,PHC_006,Gujarat,Paracetamol 500mg (Antipyretic),Heatwave,25.8,Kumbh Mela,105,24,430,17.9,0,343,19.0
2023-01-05,PHC_007,Karnataka,ORS Packets,Monsoon/Heavy Rain,38.8,Diwali,229,62,319,5.1,0,694,63.2
2023-01-05,PHC_008,Gujarat,Ceftriaxone 1g (Antibiotic),Heatwave,28.4,Holi,125,36,494,13.7,0,993,58.5
2023-01-05,PHC_008,Gujarat,Ceftriaxone 1g (Antibiotic),Heatwave,44.7,Local Fair,153,36,491,13.6,0,744,75.2
2023-01-05,PHC_008,Gujarat,Oxytocin 10 IU (Maternal),Heatwave,22.8,None,104,15,216,14.4,0,317,15.1
2023-01-05,PHC_009,Gujarat,Snake Venom Antiserum,Heatwave,38.8,Diwali,155,34,398,11.7,0,525,74.7
2023-01-05,PHC_010,Tamil Nadu,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,36.3,Diwali,171,42,41,1.0,1,758,67.5
2023-01-05,PHC_010,Tamil Nadu,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,27.5,Diwali,206,65,136,2.1,1,656,21.0
2023-01-05,PHC_011,Uttar Pradesh,ORS Packets,Heatwave,27.8,Holi,117,28,379,13.5,0,218,56.9
2023-01-05,PHC_012,Bihar,ORS Packets,Monsoon/Heavy Rain,34.3,None,134,29,313,10.8,0,878,49.3
2023-01-05,PHC_015,Uttar Pradesh,ORS Packets,Heatwave,27.3,Holi,166,51,112,2.2,1,544,25.0
2023-01-05,PHC_016,Bihar,Ceftriaxone 1g (Antibiotic),Monsoon/Heavy Rain,25.6,Diwali,127,26,417,16.0,0,314,36.6
2023-01-05,PHC_020,Tamil Nadu,Paracetamol 500mg (Antipyretic),Heatwave,41.3,None,100,18,372,20.7,0,715,27.9
2023-01-05,PHC_022,Tamil Nadu,Oxytocin 10 IU (Maternal),Clear,23.3,Diwali,67,24,282,11.8,0,284,15.7
2023-01-05,PHC_024,Maharashtra,Amoxicillin 500mg (Antibiotic),Monsoon/Heavy Rain,36.6,Kumbh Mela,154,19,45,2.4,1,622,17.4
2023-01-05,PHC_025,Gujarat,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,37.9,Diwali,166,33,384,11.6,0,596,76.3
2023-01-05,PHC_026,Karnataka,Snake Venom Antiserum,Heatwave,30.9,Kumbh Mela,50,19,486,25.6,0,150,70.1
2023-01-05,PHC_026,Karnataka,Oxytocin 10 IU (Maternal),High Humidity,33.0,Local Fair,185,50,304,6.1,0,346,55.1
2023-01-05,PHC_026,Karnataka,Rabies Immunoglobulin (ARV),Clear,36.4,Diwali,146,16,396,24.8,0,251,69.5
2023-01-05,PHC_027,Karnataka,Amoxicillin 500mg (Antibiotic),High Humidity,26.5,Holi,161,31,437,14.1,0,521,14.8
2023-01-05,PHC_028,Gujarat,Rabies Immunoglobulin (ARV),High Humidity,27.5,Diwali,97,37,342,9.2,0,80,48.4
2023-01-05,PHC_029,Karnataka,Ceftriaxone 1g (Antibiotic),Clear,35.5,Holi,103,19,188,9.9,0,339,51.6
2023-01-05,PHC_030,Uttar Pradesh,Ceftriaxone 1g (Antibiotic),Heatwave,34.9,Local Fair,51,8,14,1.8,1,987,45.5
2023-01-05,PHC_031,Bihar,Rabies Immunoglobulin (ARV),Clear,29.1,None,53,9,339,37.7,0,981,28.8
2023-01-05,PHC_031,Bihar,Amoxicillin 500mg (Antibiotic),High Humidity,40.6,Holi,77,17,320,18.8,0,8,46.6
2023-01-05,PHC_032,Rajasthan,Ceftriaxone 1g (Antibiotic),Heatwave,42.0,Local Fair,178,41,359,8.8,0,317,76.4
